     100 files     200 files     300 files     310 text files.
classified 310 filesDuplicate file check 310 files (263 known unique)Unique:      100 files                                          Unique:      200 files                                               303 unique files.                              
Counting:  100Counting:  200Counting:  300      17 files ignored.

http://cloc.sourceforge.net v 1.62  T=17.98 s (16.0 files/s, 711.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------
App/Modules/PropertyBillModule/Model/XPPropertyBillModel.h                                                        4              7              9
App/Modules/CommunityAnnouncementModule/Model/XPAnnouncementModel.h                                               3              7              9
App/Modules/VoteModule/View/XPEdtorVoteTableViewCell.m                                                            7              7              9
App/Core/Category/NSString+XPValid.h                                                                              9             25              9
App/Modules/SecondHandModule/Model/XPTransferOrBuyModel.h                                                         4              7              9
App/Modules/MaintenanceModule/Model/XPMyMaintenanceModel.h                                                        5              7              9
App/Modules/HouseholdModule/Network/NSString+XPAPIPath_Household.m                                                4              7              8
App/Modules/ComplaintModule/Model/XPComplaintModel.h                                                              4              7              8
App/Modules/PropertyBillModule/View/XPPropertyBillTableViewCell.h                                                 6              7              8
App/Modules/TopicModule/NetWork/NSString+XPAPIPath_Topic.m                                                        4              7              8
App/Modules/LoginModule/Storage/XPLoginStorage.h                                                                  7             27              8
App/Modules/SecondHandModule/ViewModel/XPTransferOrBuyViewModel.h                                                 3              7              8
App/Core/Category/UITableViewController+RACTableViewDataSource.m                                                  5              7              8
App/Modules/NeighborhoodModule/NetWork/NSString+XPAPIPath_Topic.m                                                 5              7              8
App/Modules/CommunityAnnouncementModule/NetWork/NSString+XPAPIPath_Announcement.m                                 4              7              8
App/Modules/PropertyBillModule/Network/NSString+XPAPI_PropertyBill.m                                              4              7              8
App/Modules/PropertyBillModule/ViewModel/XPPropertyBillViewModel.h                                                4              7              7
App/Core/Category/UINavigationController+XPShouldPop.h                                                            7             21              7
App/Core/Category/UITableView+RACTableViewDataSource.m                                                            4              7              7
App/Core/Macro/XPConstMacro.m                                                                                     3              7              7
App/Modules/NeighborhoodModule/XPExtraModel.h                                                                     5              7              7
App/Modules/CommunityAnnouncementModule/ViewModel/XPAnnouncementViewModel.h                                       4              7              7
App/Modules/SecondHandModule/View/XPSecondHandCell.h                                                              6              7              7
App/Modules/SecondHandModule/ViewModel/XPSecondHandViewModel.h                                                    5              7              7
App/Modules/MeModule/View/XPMeTableViewCell.m                                                                     6              7              7
App/Modules/TopicModule/XPDetailPostViewModel.h                                                                   5              7              7
App/Core/Base/View/XPBaseCollectionViewCell.h                                                                     3              7              7
App/Core/Base/View/XPBaseCollectionViewCell.m                                                                     4              7              7
App/Help/Activity/XPShareActivityViewController.h                                                                 6             19              7
App/Core/Category/SOMotionDetector+RACSignal.h                                                                    4              7              7
App/Modules/VoteModule/ViewModel/XPDetailViewModel.h                                                              5              7              6
App/Modules/NeighborhoodModule/XPAuthorModel.h                                                                    5              7              6
App/Core/Category/UITableViewController+RACTableViewDataSource.h                                                  5              7              6
App/Modules/LoginModule/Network/NSString+XPAPIPath_Login.h                                                        4              7              6
App/Modules/SecondHandModule/View/TransferOrBuyCell/XPTransferOrBuyOfDescriptionCell.h                            5              7              6
App/Core/Category/UITableView+RACTableViewDataSource.h                                                            4              7              6
App/Modules/NeighborhoodModule/ViewModel/XPTopicViewModel.h                                                       5              7              6
App/Modules/LoginModule/Network/XPAPIManager+Login.h                                                              6             29              6
App/Modules/SecondHandModule/View/TransferOrBuyCell/XPTransferOrBuyOfPriceCell.h                                  5              7              6
App/Core/Base/ViewModel/XPBaseReactiveViewModel.h                                                                 4              7              5
App/Core/Category/NSString+RACSignal.h                                                                            4              8              5
